کد_داخلی,کد_کالا,نام_کالا,فعال,موجودی,قیمت_خرید_تومان
1352,,شلوار کرپ بازاری,بله,0,6900000
1454,,تیشرت باکیس,بله,3,5700000
1155,,شومیز و شلوار دبل کریشه,بله,1,15900000
1224,,شلوار مام فیت عرب روشن,بله,2,8700000
1312,,بلوز و شلوار میله ای گرم بالا رنگبندی,بله,3,18900000
1220,,کراپ کت جین,بله,0,6570000
1427,,مینت اسکارف,بله,6,2470000
1485,,شومیز واردایب,بله,6,11900000
1284,,بافت طرح زنج یی واردایب فری سایز رنگبندی,بله,0,9800000
1458,,کراپ تاپ ساده بلند,بله,12,4800000
1240,,پافر سه رنگ فری سایز,بله,6,7900000
1100,,شومیز دبل کریشه یک و دو چند رنگ 7601,بله,1,5000000
1357,,شلوار جین کاغذی,خیر,0,4980000
1412,,شومیز پری,بله,0,15900000
1146,,شلوار لینن پنبه یک و دو تک رنگ 1111,بله,0,7650000
1344,,"کت ژاکارد زبرا مشگ, عرب روشن و هلویب",بله,1,19670000
1001,,شومیز لینن 1 کرم,بله,0,5800000
1448,,بارونب کتان زارا قد 57,بله,3,16800000
1363,,شال لینن دور زیپ,بله,3,5470000
1408,,کش دونایب,بله,22,450000
1322,,ست دورس و شلوار دو نخ,بله,2,8900000
1482,,کاله واردایب,بله,65,3900000
1422,,شلوار لینن پنبه,بله,6,6950000
1241,,شلوار واید لبه ریش مشگ,بله,1,6850000
1463,,جوراب پارزین,بله,23,380000
1366,,شال پلیسه پولیک,بله,2,5370000
1003,,کیف کننق ندارد کرم,بله,0,6850000
1428,,کمربند کننق,بله,3,2350000
1314,,شلوار جین واید,بله,5,14900000
1129,,شومیز موسل نن یک و دو تک رنگ 0701,بله,3,7650000
1088,,پیراهن نخ یک و دو تک رنگ 0501,بله,3,12800000
1337,,تیشرت آستین افتاده گلدوزی,بله,1,2670000
1296,,کاله کش بافت درشت رنگبندی,بله,6,2900000
1436,,ی کراپ حلقه ای پلنگ,بله,5,3900000
1202,,کیف چند رنگ,بله,0,4500000
1261,,بافت یقه اسگ درشت چند رنگ,بله,0,5700000
1138,,کت لینن یک و دو تک رنگ 6111,بله,5,12500000
1343,,کت گیل,بله,0,9650000
1204,,کیف چند رنگ,بله,0,3500000
1396,,جوراب سوزنب خاررج,بله,9,930000
1252,,دامن پشیم ساده کشم ی,بله,1,7900000
1431,,پیراهن لینن رسخارب,بله,2,7900000
1269,,دامن میکرو,بله,0,4900000
1218,,شلوار کتان پنج رنگ,بله,0,6850000
1325,,کراپ نوار کتان,بله,0,1980000
1024,,الگو بارونب ندارد یک و دو تک رنگ,بله,0,0
1475,,شلوار واید کتان لینن,بله,6,9900000
1185,,شلوار جین یک و دو تک رنگ 1111,خیر,1,6950000
1280,,بافت درشت بافت یقه پنج سانت چند رنگ,بله,4,5700000
1235,,دامن بافت پنج رنگ فری سایز,بله,5,4900000
1361,,شال لینن راه راه,بله,2,2980000
1147,,شلوار لینن نچرال یک و دو تک رنگ 1111,بله,0,6750000
1392,,جوراب میخ کرپ,بله,0,670000
1313,,شلوار جین نیم بگ,بله,22,16900000
1206,,کیف چند رنگ,بله,0,4900000
1369,,شال کتان دور ریش,بله,5,4700000
1268,,ست کت و دامن میکرو,بله,2,6900000
1461,,کاله بیسبایل ساده,بله,6,3500000
1377,,کت سوزندوزی کرم,بله,0,7900000
1124,,کت مخمل یک و دو تک رنگ 4011 گل درشت,بله,0,19800000
1306,,تاپ بافت گلدوزی,بله,3,1850000
1305,,شال موهر تک رنگ ضخیم رنگبندی,بله,6,4700000
1389,,شومیز بیسیک کرپ ال نیه,بله,1,6750000
1195,,شال لیچینند رنگ,بله,0,3600000
1410,,شلوار لینن اسلپ,بله,8,6700000
1385,,جوراب کالسیک مشگ,بله,3,590000
1257,,ژکت چارخونه پشیم,بله,1,8650000
